,lat,lon
217,28.5677328,77.3212612
218,28.6421175,77.10692
219,28.6778452,77.2054951
220,28.6578827,77.1888491
221,28.6410202,77.2126034
222,28.6407001,77.211572
223,28.5676803,77.2472215
224,28.5670801,77.2469115
225,28.5674361,77.2466759
226,28.6353515,77.2190315
227,28.6322944,77.2213883
228,28.6350577,77.2181263
229,28.6343272,77.2214399
230,28.6342007,77.2210708
231,28.6298758,77.2210617
232,28.5614244,77.2688764
233,28.6347294,77.2203803
234,28.6325274,77.2223125
235,28.6467321,77.1893103
236,28.6317221,77.22247
237,28.6407442,77.211775
238,28.6547263,77.1377879
239,28.5539044,77.1944599
240,28.5513772,77.2516676
241,28.5514625,77.2516742
242,28.5514625,77.2519617
243,28.5514558,77.2514485
244,28.6821959,77.2924705
245,28.6931152,77.2047845
246,28.5544185,77.1943669
247,28.6342867,77.2192258
248,28.6342817,77.2190663
249,28.6838201,77.2885902
250,28.669849,77.1026183
251,28.6892639,77.2867997
252,28.6343601,77.2182711
253,28.6295889,77.3763121
254,28.5700511,77.2417581
255,28.6409128,77.2136434
256,28.5678415,77.1890504
257,28.567241,77.1889413
258,28.6305595,77.2212797
259,28.634703,77.2205246
260,28.643686,77.1882167
261,28.6497142,77.2343609
262,28.5877629,77.1674682
263,28.5886281,77.1691571
264,28.5877276,77.1674
265,28.5614698,77.1937906
266,28.5846323,77.2231522
267,28.5614854,77.1939491
268,28.6079082,77.2306847
269,28.6209452,77.2180853
270,28.6013446,77.2410517
271,28.5628638,77.2248731
272,28.6022338,77.1861298
273,28.6016675,77.186001
274,28.6021801,77.1861058
275,28.6016518,77.1861386
276,28.630052,77.2732845
277,28.5786205,77.2385021
278,28.6290191,77.219556
279,28.6491686,77.2267524
280,28.6824886,77.2057217
281,28.6477274,77.1960745
282,28.5689762,77.1848546
283,28.5584754,77.1638371
284,28.5732664,77.2306604
285,28.6599133,77.2235649
286,28.6350184,77.2195254
