,lat,lon
0,28.6069461,77.2299189
1,28.5663466,77.2340571
2,28.594222,77.3389703
3,28.6368844,77.37601
4,28.6740388,77.1037651
5,28.5917336,77.3484898
6,28.6407045,77.2105994
7,28.635243,77.2196937
8,28.6144231,77.2768034
9,28.5853414,77.1805708
10,28.7029917,77.1576044
11,28.7026341,77.1577761
12,28.6361048,77.0652214
13,28.6334431,77.2084285
14,28.6234479,77.0919202
15,28.6653614,77.2842171
16,28.5791401,77.3346425
17,28.7035536,77.2283239
18,28.5622333,77.2688316
19,28.562363,77.2686705
20,28.6253844,77.2181175
21,28.5995254,77.226395
22,28.6297269,77.2320267
23,28.629465,77.2318985
24,28.6532866,77.3427559
25,28.5548812,77.1941907
26,28.5558691,77.1951817
27,28.6642061,77.3230335
28,28.5668787,77.2467816
29,28.6142041,77.3715342
30,28.6409278,77.2137181
31,28.6410117,77.2137916
32,28.6169212,77.225998
33,28.6494769,77.2337391
34,28.6461911,77.2400153
35,28.5543725,77.194533
36,28.580551,77.2416264
37,28.5802424,77.2415889
38,28.5828255,77.2452383
39,28.5837355,77.2437849
40,28.6323764,77.2172154
41,28.589224,77.225738
42,28.5678793,77.1945428
43,28.5535393,77.1943223
44,28.6712618,77.1342091
45,28.5575626,77.1640349
46,28.6705911,77.1339317
47,28.6706413,77.1340058
48,28.6045562,77.2282311
49,28.6411417,77.2137445
50,28.5896864,77.3615378
51,28.6337495,77.2230833
52,28.640973,77.2137407
53,28.6414451,77.2132453
54,28.6403009,77.2131013
55,28.6025805,77.2409575
56,28.6931535,77.2047845
57,28.6948692,77.2042864
58,28.5900739,77.2259246
59,28.6117129,77.3358773
60,28.6114967,77.3360041
61,28.6116229,77.3357988
62,28.7058631,77.2121825
63,28.5819064,77.3137283
64,28.6310191,77.2197896
65,28.5734423,77.2062342
66,28.570583,77.3258599
67,28.6314049,77.2204463
68,28.5709602,77.3236279
69,28.5710306,77.3252308
70,28.6342635,77.2190699
71,28.635221,77.2201059
72,28.5996402,77.2262942
73,28.6334275,77.2080471
74,28.5572536,77.2023928
75,28.5706679,77.3258447
76,28.6328321,77.0867027
77,28.645305,77.1785622
78,28.5764448,77.1957107
79,28.6410445,77.2105515
80,28.6410765,77.2126795
81,28.7150797,77.2161437
82,28.6335971,77.2212499
83,28.6303156,77.2206535
84,28.6411171,77.2144269
85,28.6408661,77.2103053
86,28.6887399,77.134831
87,28.6836786,77.1358422
88,28.6303463,77.217545
89,28.6313321,77.2197505
90,28.5995342,77.2251048
91,28.6297728,77.2203117
92,28.6077697,77.2297231
93,28.6420621,77.2179887
94,28.6278114,77.3079646
95,28.6278787,77.3080498
96,28.6279122,77.3081375
97,28.6280352,77.3086694
98,28.6279719,77.3090522
99,28.5550445,77.1950638
100,28.6005499,77.2273055
101,28.6328293,77.2172007
102,28.629042,77.076916
103,28.6883445,77.1218091
104,28.6882438,77.1212148
105,28.6882544,77.1214711
106,28.5999552,77.2261708
107,28.5998176,77.2261768
108,28.6412137,77.2147624
109,28.6415909,77.2155347
110,28.6204506,77.2181178
111,28.6098311,77.2323979
112,28.6080303,77.2302149
113,28.6452167,77.2110064
114,28.6424044,77.2103819
115,28.6021414,77.2279557
116,28.5557691,77.2183297
117,28.6018922,77.1936521
118,28.6494365,77.2335183
119,28.6482081,77.2336645
120,28.6335111,77.2212566
121,28.6423302,77.2182562
122,28.642273,77.218265
123,28.6424057,77.2182489
124,28.6424536,77.2182429
125,28.5528178,77.2046567
126,28.5567211,77.2053108
127,28.6321017,77.2077833
128,28.6405446,77.217099
129,28.6409944,77.2127435
